species,reason
skunk,"It's slightly different, yet fitting for me. Realistically, no one entirely cares for me until they get to know who I am."
deer,"I share a host of traits with the animal I identify with, and others consider it a good match for me as an author avatar."
pandabear,"I have always been a Neko, and the 3 listed above were my nekosona's since I was in middle school. The fox and the panda are my favorite animals, and my friends always described me as a mix between the 3. "
wolf,I like being in a group like wolves but i love being alone
otherfeline,"independence, loneliness"
kitsune,"I myself am a prankster, and though I lack in wisdom now am accumulating it every day I live. Those two traits Wisdom and a mischievous streak are some of the biggest defining qualities in most kitsunes."
skunk,I have a strong connection to skunks and I am identified by others as a skunk based on the traditional native american totem animal beliefs.
tiger,nyan the rawr tiggy ? xD that's good enough?
deer,yes but prefer not to share
wolf,"I was a Wolf in my past life, and have one as a spirit guild."
domesticcat,"Most of the reason why I chose a Domestic Cat was cause it was the most commmon animal that I ever saw around the area where I lived. I'm also quite lonely, agile, and over-react when I'm frightened."
snowleopard,Feline stereotypes fit my personality.
wolf,"I have always loved dogs, particularly wolves, since I was a child and I feel that they are beautiful and very misunderstood creatures and I often feel similar to that myself."
wolf,I say wolf out of spirit 
husky,"I've always identified with wolves since I was very young and then as I grew older I grew more in-tune with domestic dogs, specifically huskies and german shepherds for their loyalty, adaptability, and strength of mind and body."
otherfox,Fennec Fox. Small and Hyer. Because it fits my personality.
leopard,I would like certain characteristics of each.
wolf,I love wolves
otherbird,"Birds to me are very admirable. They are graceful and represent freedom to most cultures, and with good reason. They strike me as very intelligent and aware animals, the way that they are always there yet apart from the world, watching and waiting. It is these qualities in avians. Besides that I find birds to be adorable and beautiful creatures."
otherbear,"Loyal like a husky, stong like a bear"
wolf,"the wolf is my spirit animal and my ""fursona"" is a winged wolf"
wolf,"Power, unity, all-as-one. Wolves the zero point in the canine world show true strength, cunning, courage and well damn, we have been treated as spirit guides, brothers, familiars and hell even Gods. Not to say there aren't other amazing species and it might be cliched but we wolves are just awesome."
wolf,I love wolfs :3 
wolf,It most closely resembles who I am in my personality and how I act/feel. It also is the animal that I feel I have always been.
raccoon,"i choose a raccoon because they're sneaky and stealthy, here's a couple of examples why

when i do my homework in the middle of the night without my parents knowing , sneaking food into my room when ever i feel hungry, and sneaking my girlfriend into my room a couple of times."
dragon,becuase it fits my prosonality.
domesticcat,I exhibit qualities similar to the animal in my natural actions.
lizard,"I like the color green and lizards are among the few green animals. Also, people consider them to be ""awkward"" and I am VERY awkward. "
raccoon,"I identify with the wolf for his leadership, I identify with the fox for his cunning, the cat for his carefulness and playful attitude, the dog for his playful attitude, the dragon for his power, the raccon and red panda for their sneakiness, the raven for its love of dark, the bats love for the dark, and the griffon for its abilities"
collie,Similar characteristics to myself
domesticcat,"I'm playful but can get aggravated easily, just like a domestic cat (It's because of my autism)"
otherfeline,Its just who i am
wolf,Don't really know why
raccoon,"I had dreams about becoming a raccoon. I couldn't quite let my fox go, so my identify is parts of both. "
arcticfox,personality traits are common
dragon,I like them.
otherfeline,"The reptile (bearded dragon) fits my personality, while the feline (ocelot) is my favorite animal."
wolf,"Wolf: It's probably the living and hunting in packs as well as the image of the ""lone wolf""
Dragon: I identified with them especially when I was younger. It was probably their different appearances und their power that fascinated me most."
wolf,I behave like an alpha wolf in some real life situations. And I can feel some similarities.
domesticcat,"Yes, i am laid-back and calm most of the time but when you do something to upset me who ever did it feels the sting of my claws/venom"
wolf,I like them
bat,Watership Down put the love of rabbits into me. Bats--I don't know. They're cute and they sleep upside-down. What more do you want?
redfox,Not that I can think of
wolf,Wolf therian 
snowleopard,"the fox was chosen due to its cunning nature and its sharp wits
the snow leopard due to its mysterious nature
the ferret bcause ferret was my nickname at school"
skunk,I love skunks and foxes and I love their colors! foxes act like playful dogs too!
otherungulate,"I identify most with the deer, caribou or reindeer specifically. I get very anxious if I am in unfamiliar surroundings, my ""herd"" is very important to my sense of safety, I thrive in colder climates and, while this really isn't extremely important to my character, I have some sort of condition in my wrist that causes it to pop loudly whenever I turn it because it doesn't fit into the joint correctly. It sounds a whole lot like the clicking of a caribou/reindeer's specialized knee joint which clicks when they walk to help them find their herd mates in snow storms."
redfox,favorit animal
raccoon,it is the thing I feel confident showing myself in and they look good <3
kitsune,"Silent nature, natural carefulness and curiosity... While at the same time being a positive person, of course"
othercanine,"It was a breed I made to fit my personal self. I had an interest in the unknown, but still wanted to keep in check with my wolf background. I made a breed known as Xenowolves, a part alien, part wolf breed."
germanshepherd,They have always been my favorite breed since I was little
arcticfox,"I have always felt a strong connection to the cunning fox, and I'm in Maine, where I gets kinda cold, so I chose an arctic fox."
dragon,My internal weaknesses are eliminated through my fursona and my inner strengths are accentuated through him
dragon,Love dragons
skunk,No
greyfox,"I had an assignment for a class, which would lead to my animal being a coyote, which would symbolize change, and I love foxes"
germanshepherd,"Otherkin for the otter, most others is personality wise."
wolf,I like their personalities and how they look
otherfeline,"Because the Margay and I share so many similar traits. I didn't have a fursona for two years before i finally deciced on the Margay for my animal. I don't know - it just seems I relate to cats the best, and a margay just happened to be my soul mate. We both like are solitude, are primarily nocturnal, and love trees. "
dragon,Otherkin/therian
dragon,They each have characteristics I feel represent me.
dragon,"Dragons, because they reflect my true personality.

Huskies, because they reflect the personality I like to think I have."
lion,the reason i picked the lion is that i share more in common the lioness train of thought instead of the male thought process 
tiger,Because I was one. 
redfox,"Clever, crafty, quick, small and cute!"
dragon,No.
kitsune,i feel like i would be a fox if i were an animal
collie,I have a lot of British heritage and so does the Border Collie. I am hardworking like the Border Collie and I am also intelligent. I like the dog breed in general too. I had one when I was little and I really loved her. I feel like I have a connection to Border Collies.
redfox,I identify with it because there always watching there back and only do what they want to do..  and that's like me
othermustelid,"Technicians are thin and backstabbing , like weasels "
dragon,"I AM a dragon. I didn't choose it for reasons, just innately realised I was. "
pandabear,im rather shy and kind of lazy but when i want to protect someone or somthing i will defend it 
squirrel,2nd Favorite Animal
rabbit,"it represents my role model, my ideal self, and my fursona."
redfox,Its cute and the fox is cunning and reminds me of a game i used to play Sly Cooper. And my favorite dog is a husky.
otherdog,Doberman/Border Collie because I feel like those dogs fit my personality best
arcticfox,I like things cooler and love the snow. I've always been fond of fox's and I found I share some base personality traits with them (More so the arctic fox than with others) so I went with the arctic fox. They are survivors like myself we do what we have to to live and most the time we do it without others.
otherbear,"Not really. I just like them 
"
brownbear,I share physical characteristics with it and the slang word bear
otherdog,"similar personalities, love for water, playful spirit"
hyaena,Not particularly
otherdog,"I have always had a connection towards wolves since I was a small child. As I came into the fandom, the wolf aspect pulled towards me more than any other. I now believe it was my totem pulling my towards the Wolf within me.

Malamute is important to me because it is the closest of the Dog breeds to the Wolf and the connection I held with my pet in my youth holds strong to this day."
hyaena,"Always laughing, I'm mischievous, and they're just cute"
snowleopard,It fits my personality the most. I have OCs as well.
otherfox,"I simply love cute things, and I'm told I'm cute by a lot of people, so I figured a fennec fox... Besides, I love foxes and large ears too."
redfox,For the raccoon it's because I am a therian.
raven,Ravens are survivors. They make use of resources others do not and see opportunity where others don't.
deer,"Deers are a scared of humans, are not muscular and come across like they are a little bit insecure."
dragon,"I feel a strong connection to these animals, some kind of bond. Since my childhood I've been fascinated by dragons. After a long time of philosophing, I came to the conclusion that the human body couldn't be the only life a person has. That's where I made the step towards duality: Body and soul seperately. I assume that the dragon will be my next vessel, as this is an animal I show a lot affection, interest and love towards. "
otherfox,I don't know.
polarbear,Most of the fursonas I come up with are inspired by qualities in myself. I take those qualities or possibilities and associate them to an animal.
wolf,"I had a stuffed toy wolf as a kid, i based my main fursona after him, that and wolves are the only thing i can draw."
wolf,"A strong pack member and leader, brutal and ruthless."
dragon,So sex :3
otherreptile,"I chose reptiloid, other/nonspecific, and my fursona is a komodo dragon. These reptiles have always fascinated me, in school, on television, and at the zoo. I always feel a deep connection with them when I visit their exhibit. Often, I find one trying to reach out to me, or get my attention, as if connecting with me on a level no one else can comprehend."
wolf,It is my Favorite Animal and i can relate to how they live and care for there familys in a pack like manner.
rabbit,I have the odd ability to wiggle my nose like a bunny.
redfox,I feel that I have some traits similar to Vulpine species and I plainly think they look awesome
horse,Can't explain it. Just feels...right
wolf,Past lives
snowleopard,I love the cold!
husky,ive always loved the cold and am very playful like a husky. :3 and i love balto so it all worked together.
domesticcat,"Hedge-Tiger (I created it)
House Cat (I love cats)"
wolf,I Like my wolf because its cute and fluffy. I like foxes too. I really Just like portraying a character in suit and I think having a tail would be cool.
griffin,Being a Griffin give's me the feeling im able to free myself of my current shackles and situations and problems by just flying away. Something I wish i could do in real life.
dragon,Yes - dragons are important to me spiritually.  My particular scalesona is a very accurate depiction of me.
husky,Originally picked due to my affinity towards cold weather
greyfox,I prefer foxes and cats. They're just my Favorite animals so I consider my fursona a hybrid fox/lynx.
greyfox,No particular reason.
griffin,I think they're interesting.
redfox,My additude resembles verry closely to a red fox and I've always thought that they were adoreable along with wolves or any canine speices relly . Loyalty runs extreamly deep I will stick with someone to the  bitter end . Family and freindship means everyting to me and see my family and ones close to as a part of my pack and will do what ever it takes to take care of them.trust is a must havs just like any canine in order for them to respect you. And parts of me deep down in my soul resemble  canine atuributes. 
otherfeline,"Grace, confidence and general air and behaviours."
otherungulate,"Yes, it fits what others see in my personality."
kitsune,I was born knowing that I wasn't a human. I learned about foxes in my early teens and recognized myself. I have since known that I'm a fox.
squirrel,I love cute animal
otherfox,"My sona is a fennec fox, I chose that one because of Rukis' character Marcus Reid. I like  him so I figured my sona would be a fox as wel. "
snowleopard,"Being Otherkin, spiritual connection"
domesticcat,"Im a female wolf husky cat hybrid. Because i feel like i have the sense and honor of a wolf, the laziness and agility of a feline, and the courage and loyalty of a husky"
greyfox,"i was looking into ""the furry stereotypes"" of different species, chose the ones i identified the most with, i'm not quite grey fox, fennec fox, husky and golde retriever. these four because i couldt identify myself with just one... "
redfox,"Of all the animals, I feel like I fit with the fox the most."
domesticcat,"Fox: Robin Hood
Cat: Personality
Bear: physical resemblance"
horse,"Jackals are omnivores like me but are also scavengers. Cheetahs because I like short distance running and the wind rushing through my hair as I dash at my top speed. Raccoon because I like climbing trees and am quite good at it too.
Horse and deer because of my strong, fast legs. Rat because of my quick wits. Eagle because of my tendency to strike someone when they're not prepared if they annoy me enough. Bat because I like dark places."
horse,"I've always gotten along with most animals, but have found my personality is similar to a friendly horse or dog. It was a toss up, and with canines being more popular at the time, I thought I'd go with horse. Hasn't caused a bit of grief since."
rat,"because rats are like misunderstood and given a bad rep like me i am misunderstood,people judge me and all kinds of stuff plus rats are sneaky and i am also sneaky"
husky,"It's just that i am a husky.
I love to run, i love snow, and c'mon huskies are darn cute!"
weasel,"I'm slender like a weasel, like climbing like squirrels and am as lazy like a feline.  I do well when im alone, but need company after a while."
coyote,"Physical, behavioral and metaphorical symbolism, similarities and attraction."
wolf,"Because, i'm from the north part of the world and where I live have a lot of that animal species. I am born under the year of the dog and my personalty traits follows up being a nervous ehiter wolf or dog."
otherdog,"I am intelligent, sporadic, silly and misunderstood like a Dalmatian, and I have always loved them. "
otherfeline,"Cats have always been my favorite animal. They have qualities of beauty that no other animal can match, both in physical appearance and mannerisms. This love might have come from my earliest pets all being cats, I'd mimic their mannerisms when I played with them. Then I watched documentaries on big cats and read scientific fact books about them when I was old enough. My love of cats grew to be a strong feature of my identity. Every year at school on the first day when everyone introduces themselves along with an interesting fact about themselves, mine was always ""My name is --- and I like cats"""
riverotter,"An otter, in my opinion, signifies joy and an undisputed sense of curiosity and adventure. I feel as if these traits describe my good traits, that, and I just love Otters. Adorable little things you can't help but to like. "
otherfox,I chose a fox because of their bushy tails and pointed ears; also because they are agile and quite cute.
dragon,It gives me a sense of freedom that I am barely clinging to.
otherreptile,"When I was a little kid, Final Fantasy Tactics Advance was the first game I played in which I could play as some kind of anthro. So, I like to call my fursona as a little ""ode"" to the childhood memory."
collie,"Dogs have always been my favorite animal, I've always grown up and lived with dogs, along with reading a plethora of dog related books (like dog behavior, training, breeds, etc, etc), owning a huge amount of dog stuffed animals, and the other such. Needless to say, I've always loved dogs. I assume this is the most pragmatic answer to the question, the popularity of dogs has been the result of my fursona, so if I were born somewhere else, would I relate to the most popular pet there? Anyways, the first part was, probably, the most pragmatic answer, but I've always loved how (border) collies are regarded as the most intelligent dog. They're also a very beautiful dog with a large amount of diversity in appearance (I prefer chocolate or chocolate merle), very lush fur, and are quite athletic. Definitely admirable traits."
redfox,I have all ways liked to laugh out loud like a hyena.
wolf,"Pretty much just like wolves, played legend of Zelda twilight princess a long time ago where you turn into a wolf in it which I liked. "
otherfox,Foxes are very active.
riverotter,No specific reason other than liking the species.
husky,Matches my personality
arcticfox,They have always been my favorite animal and I feel as though I have a special connection with them.
rabbit,"Energetic, I'm friggin adorable. my hair has been told to be ""as soft as a bunnies"""
redfox,Psychological similarities.
husky,"always loved huskies, always loved snow, hardworking, lots of energy, it just feels RIGHT."
dragon,"The species is not important, in truth, but dragon seemed to fit the persona I was projecting through it most accurately"
germanshepherd,"Because it matches some of my personality traits. Plus people often I ask if I am German even though I am British, so the German Shep is a no brainer. :) "
kitsune,Always liked foxes and how they look. I have other side characters of different animals.
otherfox,Seems more like myself.
wolf,Personality and some physical traits mostly.
dragon,I'm dragonkin so it should be self-explanatory.
wolf,Mainly because they are one of my favorite animals.
wolf,"Wolves got me into drawing in the first place when I was a little kid, and have meaning to me personally."
riverotter,Fun-loving and playful nature
arcticfox,my spirit guide is an arctic fox.
lizard,just like it
dragon,"Awesomeness, power, wings and a flexible tail. "
domesticcat,"I have two main fursonas. One is a cat, then another is a dog. They're different representations of aspects of myself."
deer,"I am a full blooded Cherokee. The animal that best represents my tribe is the deer. Additionally, deer are a reoccurring sight in my life and are extremely important to my cultural heritage. They represent certain qualities that I identify with in Cherokee beliefs. I felt that the deer was the animal that best represented me."
mouse,"Because I am rather meek, and skiddish at times. However I am extremely affectionate if I know you well, and very social in groups of people I am familiar with."
kitsune,I am smart and attractive
redfox,"intelligence, playfulness"
domesticcat,"I have two cats and always loved cats. It was always my favorite animal, so it was almost automatic that i made my furry a cat. My fursona is also part deer (antler nubs, hooves, short tail) because i really like deer and just how they look."
germanshepherd,"They are friendly, loyal, and the absolute most adorable dogs."
wolf,"I have always felt a spiritual connection to the wolf as did my Native American ancestors. I also just am very fond of the animal. They are beautiful, majestic creatures that are loyal pack creatures and I love that. I even roleplayed as a wolf before I knew what the furry fandom was."
otherfox,I like foxes
horse,"I identify as a horse because 1. I'm from Texas, 2, I'm a Cowboys fan and what's a Cowboy without his horse? 3. I look like a horse kinda."
weasel,"I see myself as curious, kinda like a ferret."
arcticfox,"I have always loved foxes sense I was young, I identify with the Arctic Fox due to my love of cold weather!"
otherfeline,"Not particular, feels natural"
kitsune,I highly love canines especially dogs! I believe it matches with my personality also.
redfox,"It's chosen on a whim, I didn't pick it over one main reason over another, though I will say I'm much more fascinated with foxes over almost anything else. "
otherfox,"I'm physically small, and I'm quite smart (or so I'm told).  "
redfox,"cute, fits my personality"
otherreptile,"Cheetah: Quick wit, high mental speed
Panther: Strength of will, mental fortitude, emotionally durable
Snake: Eastern culture's representations of snake, intelligence etc."
redfox,Just seems to fit me.
bat,Always had a fascination with and felt a connection to.
wolf,"I'm a vary loyal and a wolf is a symbol of loyalty so I thought it was fitting for me. Wolves are also one of my favorite animal. Pack to lone hunters, only one mate as far as I know about them, and when I was on gaia I was a wolf and wanted to keep that, but make it more furry."
redfox,The red fox is my spirit animal
kitsune,I identify with the Kitsune because their fur is red (like my red hair) and they are usually intelligent tricksters in Japanese mythology (like me).
tiger,"I have loved white tigers my whole life, so I became one."
dragon,"Not really... setting a species kinda prevents me from doing the things i want because it's inconsistent with that animal.
Again, more problems i'm not willing to deal with unless i'm writting something with a set world or plot."
germanshepherd,"I chose the animals I have characters on, which are mostly canines. I like to RP and make costumes of those animals. My fursona is an Alphyn however, which is part Wolf, Lion, Griffon, Goat, and Dragon."
domesticcat,"I identify as a kitten because of my experience with cats, having cat like traits and I just feel like a kitten, inside."
polarbear,It fits how i feel and act.
tiger,"I show social traits of both wolf (social, pack mentality), and a tiger (loner, antisocial)
have a yin-yang complex, lots of behaviors that dont seem like they can be together. yin-yang, good-evil.... cats and dogs..."
germanshepherd,"It's my favorite animal. I feel I have characteristics that people associate with a German Shepherd. People see me as a protector, loyal, friendly. "
rabbit,"Wolf: whenever I ask people(a total of 3 answers) what animal they think I am they told me wolf, apparently when I find a ""pack""(seldom) to be part of I immediately take over as either the beta or alpha, which I would then argue that packs and hierarchy aren't only present in dogs they just say that's what seem to them

Pandas & Koalas: I am often that I look like them, and I AM very isolative and moody, but then need loads of positive cuddly attention when I'm with/near people

Squirrel: I stash things, do a lot with my hands, eat a lot in a single mouthful, and run away from people, and I like small spaces 

Rabbit: like cavelike places, I think of myself as soft and vulnerable, and I heard that if rabbits get too lonely/depressed they die, and if/when I get very lonely I do just want to end everything

Bat: I notice I see in the dark way better than other people, and I wish I could fly"
wolf,"Wolfs are loyal, faithful, caring, wise, courageous, fun filled, all traits I find in myself in my day to day life. I also am a big dog lover n find such beauty n pride in wolves in nature."
wolf,I identify with canines more than other species and I like the freedom of spirit that the wolf embodies.
otherdog,"My name and birthsigns translate as ""Dragon"" I love to hoard knowledge and art, but can be shy about my presence/appearance around others, afraid I may come across as intimidating.
As for the canine, when I want to be friendly, the best breed to teach unmitigated friendliness and loyalty is the labrador. I put aside my any opinions my dragon side may have and open myself up to others, and they trust in me their stories and secrects, something both dog and dragon will take to the grave."
cheetah,Cheetahs are the fastest land animals in the world and I have a couple theme parks near me which have cheetahs in them including one with a roller coaster named Cheetah Hunt.
wolf,"family and friends are extremely important to me, because of them and for them i have find the strength to endure any hardship"
raccoon,"I feel that I have a connection with this animal, and I admire their traits."
skunk,"I feel that I have a similar personality in ways. I'm wary of new things sometimes, but can be friendly enough once I get to know someone or am used to the situation. I also feel, like the skunk, that people don't always understand me completely"
griffin,"I like to indentify with Dragons and Gryphons mainly due to them being described as guardians in legends. Dragons, additionally, for me personally are important due to how they are misunderstood easily by humanity. Something I seem to have in common with them. Also, winged creatures resemble freedom, a very important part in life."
lizard,Wolves and canines in general have fascinated me since I was a small child and my family always had a dog of some sort.
redfox,Foxes are cute. :D I identify myself as a cute toony silly anthropomorphic creature. :3
dragon,I've always thought dragons were majestic and being that they're fictional why not for a fictional persona?
seaotter,"I look like otter 
Me friends said this one pic of an otter comic, reminded them of me 
I took a personality test and I was greatly the otter 
I otter 
and now ppl irl and in chat call me an otter sometimes :P 
but furrys refer to me as otter or otti and such ."
rabbit,just always felt they have 
panther,Because they're bad ass and cool and i just do...?
otherfox,"I feel it, the Fennec fairly well represents me, both in temperament and in life. And that it aligns with me in a spiritual way."
deer,"Yes, It is very a very unique animal and I feel connected to it via sharing similar characteristics often associated with the animal. "
greyfox,i picked it because of there shy nature and cunning mind both treats that i have
cheetah,"Cheetahs are my spirit animal, I feel most comfortably having a cheetah fursona "
brownbear,There are many
otherbird,Yes and no?
otherdog,I feel that it aligns best with my personality and social level.
domesticcat,"My fursona was my character from an online game, FeralHeart, for a while.  It eventually stuck, and came to be who I was among my furry friends.  "
weasel,stoats are goofy little shits
wolf,"I feel that they are powerful and confident as I am, but they also have a love for the other animals in their pack that is strong and I am a sweet but spicy person, like I have a mean outside sometimes but I really do care about people "
wolf,"I'm quite like a wolf in many ways. I have better hearing and sense of smell, I communicate on a different level than most people to animals. Especially canines."
otherfox,"they are small and hyper, similar to me"
redfox,Foxes have a wonderful color pattern as well as tigers and snow leopards. They are both quick and silent.
tiger,I think they're beautiful. I love the mix of power and grace they represent.
tiger,Personal Interest
rabbit,My character selection varies over time based on desired anthropomorphic characteristics of the species.
wolf,"Family/friends are of high importance to me. It could be said that I have  a ""pack mentality"". I am very protective. I am often distracted by smells and hearing. I also have very sharp teeth. "
raven,Coyote because I feel It suits my personality in comparison to Old man coyote from Native American mythology. 
husky,"I have a big fond of Snow Leopards, Huskies, and Wolves. I find them very beautiful animals, and very interesting. Sergals, just because they're very interesting, thought they're fictional"
husky,Well I was in a call with my furry friends and they decided to make me a fursona. We all came to the conclusion that I was a blue husky. And it kinda fits >w>.
otherfeline,Mixed reasons.
otherfox,"Just feels right. The looks, the feel, the personality. It's what I feel most comfortable with."
wolf,As far back as I can remember I've always been interested in werewolves and I acquired an obsession for it back in 2009 and that's when I first looked into the furry community and found out that there were people just like me
rabbit,I identify myself with the hare because I am always eating salads( I love them) and hopping around is extremely fun. I just feel as if the hare is me. It is really hard to explain. I just feel it in me.
skunk,Not really.
riverotter,I swim a lot love seafood very social animal love people and high energy and love to play
polarbear,"Lion because of the fluffy mane and my hair;
Polar Bear because of their color and my own;
Red Fox because of the fur color that i would love to have."
otherfeline,"i have the reflexes of a cat, i land on my feet often, and there have been many times i should've died in life but did not, thus relating to the ""nine lives"" theory
"
tiger,white tiger have always been my favorite animal and the one i would want to be if i was an animal.
lion,"Close connection since childhood, fits me well."
polarbear,"I identify with Polar Bears and Arctic Foxes because of the environment they live in. They are from a cold climate. I love the cold and always have. I love these two out of all the animals in the cold climates due to the personality traits commonly matched to them, and find myself with many of the same attributes."
bat,"Bats can ""see"" sound, and I like to visualize things when I listen to music. I also like to eat edible Victorian flowers, fruit, and I sometimes like to experiment with the insect-related cuisine of other countries. Bats are also the only flying mammal that we currently know of, making them a bit of a misfit in the animal kingdom. I also kind of resemble the Egyptian flying fox (hair, facial structure.) My voice is also high and squeaky. Oh, and bats are misunderstood as being ugly and creepy (I can relate) but true friends gravitate towards them for their personalities (even vampire bats must have SOME redeeming qualities.)"
othercanine,Polarwolf: I love Winter/snowstorms
wolf,"Yes, I am a wolf/hyena therianthrope.  It's part of who I am."
raccoon,"Wolves are noble beasts.

Raccoons are lazy fluffballs.

I'm wolfcoon. So i'm a noble lazy fulffbeastball!"
husky,The general personalities of both huskies and shiba inu's are similar to that of my own.
domesticcat,I like fish lel
bat,Kuz i love it.
coyote,"There are a few reasons i identify with the coyote. Mostly personality traits. I generally hang out with a smaller group, tend to be more shy but more bold when called for, can be a bit of a trickster at times, and most people have the same general misconceptions of me as they do coyotes. "
dragon,It's who and what I am on the inside.
rabbit,"Gentle, loving, playful. Have always had an affinity for buns"
wolf,"I always have, it's like a spiritual bond "
brownbear,"I am a larger person so I identify with larger animals, and bears are very mercurial, they can go from happy to angry fairly quickly, which I relate to."
rabbit,"I'm a Jackalope, But I mostly Identify with the rabbit because they are shy timid and withdrawn from world. I spent a good decade of my life tucked away in the woods away from people with family. I've been a loner most of my life. I picked the rabbit because they're also smart and extremely high energy. I have shit tons of energy myself and I ran Cross Country in highschool. They're also very cute. ^^"
otherdog,"[Bull Terrier] To a certain extent, their physique resembles mine, especially facial structure ( if you were to make the obvious canine-human translations), along with their personality and behavioural traits.  The best mirror/represent myself."
arcticfox,"I believe they are adorable foxes, and I like the cold and live in a colder region."
wolf,"The three that I chose are parts of me that I feel closely related to. The loyalty and playfulness of a wolf with it's pack, the songs of joy and love and longing with birds, plus their need to migrate and travel. The cat is most predominate with me, as most aspects that people appreciate about cats can be found in myself. I also selected other because I am not a hybrid, I am a shapeshifter, which is uncommon. This is due to my severe ADD and bipolar disorder, so I feel the traits of a shapeshifter represent that inconsistant part of me. "
collie,they are my favorite animals
dragon,"Chinese Heritage (Eastern Dragons are gods, deities) "
wolf,"Grey up seeing wolves and stuff all the time, I identify with common beliefs and traits associated with them."
germanshepherd,Certain character traits match personality
wolf,My spirit animal is the Wolf. I also love werewolves. My character is based in a apocalyptic world where I was changed into a werewolf do to chemical warfare. 
raccoon,"Similar ""personality"""
otherfeline,"Secretive and fiercely independent, I feel the lynx positively embodies the traits that make me an awkward human being. The lynx does benefit from human activities, with snowshoe hare (food) populations spiking in freshly logged clearings; I might not like being involved with people, but they are kind of nice to have around! :)"
otherdog,"Big, fluffy and white, so huggable and sweet..."
lion,i love lions
tiger,"Ive always been drawn to felines. I love the way they look and act. Even when I was little I always wondered what would happen if any one of them became sentient. How would their instincts and society would translate to sentience. I was always daydreaming about that even before I knew I was a furry, or what a furry even was. "
dragon,becuase i like dragons
tiger,What ever I identified with at a time period in my life
tiger,Snow leopards because There is always one in my dreams.
rabbit,"Cat: I used to be a cat because I just thought they where adorable.

Bunny: I wanted to be a bunny because I am kind but socially awkward online, plus I don't talk a lot and rabbits don't make any vocal sounds... or not any that I know of.

Horse: I was told by my brother that I was fat tempered like a horse, so I decided to make a horse sona with a bit of my personality.

I try to be as realistic as I can."
otherdog,i grew up with pit bulls all my life and they have been the most lovable big babys i have ever met they are the most  loyal loving dog i know
otherbird,"I have always loved cats, and my first ""fursona"" which was merely a user-ID on the Game Talk forums website for the game Sonic Adventure 2 Battle, was ""Indigo the Cat.""  That name has stuck with me for around 11 years now.  Also, many have said that I ""act like a cat"" sometimes.  As for the birds, I don't feel they receive enough respect, and I have sometimes fantasized about the ability to fly.  I was born in the year of the Earth Dragon, and I somewhat identify with them in that I am eccentric, some have said I am wise, and I tend to do my own thing rather than just blindly follow the crowd."
griffin,One does not simply explain why they love birds.
kitsune,always felt a bit of the trickster and love magical stuff
wolf,I chose the wolf as a fursona because it may be just a fantasy but I wanted to picture myself as a stronger and unique being.
redfox,Drawn to it at a young age. When I grew and learned the general furry view of fox nature I still found it very fitting to myself. 
husky,Husky because I had one and he was my best friend as a chil before he died.
dragon,"Been my favourite animal for a long time, really enjoy the look and design of dragons. Thinking about it, my personality would probably be one of a dragon, as well."
rabbit,Otherkin- Spirituality 
horse,"Yes,I am very horse like and Horse is also what I believe to be my spiritual guide and/or final destination."
dragon,"cant say why, always loved dragons, even before i knew what furry was :3"
redfox,Foxes are very close to my own personal nature. Not much else I can really think of on the spot..
wolf,"Because i like wolves, and i am smart, cunning, and decently fast. Also aggressive sometimes."
otherbear,It has been how I've seen myself in real life and actually how others see me.
arcticfox,id always have dreams of being a fox when i was a young child
deer,"I have my main fursona as a deer since its my favorite type of animal. A fox, fennec, is just another character I like to be sometimes in a RP"
othercanine,"i dont really know, but i really like my sona hybrid"
husky,Because I have a connection to husky's and wolfs in my heart 
redfox,It's the species I feel that I Identify with the most on a physical and mental level.
redfox,personality
jackal,"I feel like I'm a friendly, protective, and loyal person which is the reason I identify with the above species."
raccoon,"Raccoons are wild animals by nature. Nocturnal creatures, shunned by society & resort to crafty behavior for survival. "
leopard,just do
husky,"I felt connected to Half Husky/Half Wolf = Alaskan Husky for a long time, how they are loyal, kind, caring, and yet strong to defend what is theirs and their ways."
wolf,I work with dogs.... And plan to raise wolves as the are the purest form of canine.
wolf,I have respect for wolves as a species and believe to have a spiritual connection to them in terms of soul
tiger,Very nimble and agile Large dangerous animal that can be nice if tamed correctly but can still turn against you 
husky,"White shepherd for its caring nature for its family and friends. Husky for its derpyness and outgoing, and wolf for its wild side."
otherdog,sealions dont really exist in the fandom there cute and well i might not the first one but hell we need more sea lions
dragon,I identify with dragons much in the same way that they can be misunderstood and judged prematurlu because of all the typical judgements in the fandom.
tiger,N/A
collie,personality 
badger,"Their temperament mostly, and the squat build. It resonated with me as an introvert."
coyote,The sense of freedom and its will to survive
redfox,"Had a connection with Red Foxes ever since I was young, The movie ""The Fox and the Hound"" was a large influence on me."
redfox,"Cleaver, faithfulness to only one mate like a fox, and I have pride like a lion, the symbol of fidelity."
wolf,"Wolves are my favorite animals.  To be specfic, I chose my fursona to be a dire wolf as it's orgins around South America and North America relate to my ethnicity in a way.  "
leopard,Ive always thought they were beautiful and wanted to be one if I could.
hyaena,"I was inspired after reading His Dark Materials where they describe everyone as having a soul animal. I took a number of totem animal quizzes and hyena frequently popped up, and it seemed to fit."
kangaroo,I like cabbage
jackal,Not really. I just like the character anubis or anubis like characters due to it being an anthromorph before I even knew the fandom existed.
dragon,"Totemism - I hold the dragon traits of ferocity, intelligence, and ""warrior spirit"" as guiding principles for my life."
