Species,Reason,Character status
redfox,First fursona. Foxes had been significant to me as a kid,Deprecated character
"redfox, snowleopard, dragon, otherungulate, other",An amalgam of traits and character design choices I like/find visually pleasing,Primary character
dragon,"I really liked Spyro as a kid, sue me.",Primary character
otherdog,I identify with qualities of dogs and had one as a pet,Secondary Character
"otherdog, otherungulate, otherbear, rat, other",cause I wanted to,Primary character
"lion, raptor, griffin","Birds and felines are my two favorite kinds of animals, although I think of my fursona as more of a bird than a feline. Specifically, my fursona is a lion-vulture hybrid.",Primary character
deer,"Deer are my favorite animal, and I identify with them.",Primary character
other,Unicorns are cool as shit dude,Secondary Character
otherungulate,"Cow, because they are adorable, sweet and innocent looking.",Secondary Character
otherfeline,Favorite animal.,Primary character
domesticcat,"I have an affinity for cats, and I was inspired and attracted by art I had seen early in my introduction to the furry fandom.",Primary character
husky,I feel this character represents a part of myself not so easily represented by my main character. ,Secondary Character
,I feel this character represents a part of myself not so easily represented by my main character.,Secondary Character
otherreptile,I feel this character represents a part of myself not so easily represented by my main character.,Secondary Character
riverotter,I feel this character represents a part of myself not so easily represented by my main character.,Secondary Character
arcticfox,I feel this character represents a part of myself not so easily represented by my main character.,Secondary Character
horse,The horse is a beautiful and noble creature.  ,Secondary Character
greyfox,I like the physical attributes of the grey fox as well as the skills attributed to the fox. ,Primary character
wolf,"I admire the strength, intelligence, and the ways a pack of wolves can work together like a squad of well-trained soldiers.",Primary character
wolf,Favorite animal.,Primary character
othermarsupial,I feel like I share a lot of attributes with the opossum.,Primary character
otherfeline,I like Khajiit,Primary character
"dragon, otherreptile",I really like the idea of scales. I like the feel of scales on snakes. ,Primary character
othercanine,"Was intended for a webcomic, ended up designing the character more as me and felt represented by it.",Primary character
deer,Aesthetics and behavioral characteristics ,Primary character
"domesticcat, dragon",They represent my personality,Primary character
other,"I identify with the animal greatly, in how people percieve them and there place in the ecosystem.",Primary character
otherfox,"Not sure really, I've always loved foxes and this one always seemed to fit with me. Plus my girlfriend comments constantly of how my personality is very fox-like so I guess I got that going for me.",Primary character
otherbird,aesthetic reasons,Deprecated character
mouse,primarily aesthetic and emotional reasons.,Primary character
other,Fits my visual and pshychological tendancies.,Primary character
husky,Physical & behavioral similarities,Primary character
riverotter,I just like it..,Primary character
"tiger, snowleopard","Why wouldn't anyone choose it?
White tigers are AWESOME!
",Primary character
"panther, othermusteloid, other",Because they identify parts of my inner nature,Primary character
other,"I connect with her, as we are both small, cute, skittish, quiet, and shy",Primary character
dragon,I've always identified with dragons. I wasn't until sometime into my time as a Fur that I discovered I was an Otherkin and had been all along.,Primary character
otherreptile,It's my favorite animal and I feel very connected to them,Primary character
lion,I am a predatory hunter,Secondary Character
wolf,"I am a hunter, and wolves are the animal I identify the most with",Primary character
husky,They are my favourite animal and I identify myself as having similar qualities to them. Plus they're cute and awesome! :D,Secondary Character
lizard,Aesthetic interest,Primary character
,i chose this species because i think they are adorable ,Primary character
tiger,I guess I just prefer tigers over everything else,Primary character
wolf,I love the freedom of wolves and how majestic they are,Primary character
dragon,represents me the best.,Primary character
wolf,Some social characteristics of canines as a whole and particularly those of wolves; and mexican wolves used to be part of the fauna of the country.,Primary character
"dragon, other",they p cool,Primary character
dragon,Literally dragonkin,Primary character
redfox,Matches my hair color,Primary character
wolf,awooo,Deprecated character
wolf,I think wolves are cool,Primary character
wolf,I am one.,Primary character
other,they also cute,Primary character
deer,they cute,Deprecated character
"dragon, lizard, dinosaur",-,Primary character
"cougar, raptor, griffin","Indigenous animals, something familiar, combined to make something different. ",Primary character
wolf,I personally love wolves I like their way of living ,Primary character
"wolf, redfox",Because this species best matches me. ,Primary character
horse,My Little Pony: Friendship Is Magic,Primary character
otherreptile,It's my favorite animal and suits my personality.,Primary character
"coyote, raccoon","I am very similar in personality to raccoons, fairly erratic. I have a personality that is either you hate it or you love it. I admire canines, specifically dogs and wolves, and i view coyotes as an outcast of the group. That being said i feel a connection with the coyote. In addition to that both coyotes and raccoons are adorable but also have a badass factor.",Primary character
wolf,I am an eagle scout and consider myself to hold attributes of a wolf. I greatly admire such an animal.,Primary character
otherdog,"It's a gentle-hearted species, from colder climates, athletic, and long-haired, traits which I share to varying degrees.",Primary character
raptor,It would be cool to have a beak!,Primary character
other,It matches my personality,Primary character
otherfeline,It reminds me of myself in many ways - both appearance and personality wise.,Primary character
rabbit,Aesthetics,Primary character
"wolf, husky, otherdog","I wanted something not too ""Special Snowflake""-y. Kinda boring, and represents me pretty well.",Primary character
"wolf, otherfox","It is a popular and fitting aesthetic design, and I share several characteristics and traits of these species.",Primary character
mouse,"I find that I identify with some characteristics of mice--I think mice are cute yet underrated, and are also timid in certain ways yet rambunctious in others, as I am.",Primary character
horse,I just feel it inside. Weird huh,Primary character
grizzlybear,I love bears a lot. They are just huge and they seem like chill dudes if they were people.,Primary character
other,"Because logically one cannot like or know themselves. Choosing something hideous, ugly on the outside with its qualities hidden on the inside can best represent how I feel about myself.",Primary character
arcticfox,Very first character. Now abandoned because I've re-thought my fursona.,Deprecated character
"husky, raccoon",the looks of a husky and its loyalty are things i can relate to. A raccoon is really curious and mischievous which i also can relate to.  ,Primary character
"wolf, domesticcat","Through discussions with Native American friends, we've come to a conclusion that my spirit animal may be a cat.  Also, I really like wolves, so...",Primary character
"dragon, other",I just felt like it.. Always identified as a noble person i guess,Primary character
raccoon,i love raccoon's i don't know why i think they are fascinating animals. ,Primary character
griffin,"Udek
",Primary character
riverotter,Idek,Primary character
"bat, other","Idek
",Secondary Character
dinosaur,"I like green, smooth scaly textures, and find dinosaurs depicted in media as cute",Primary character
wolf,.,Primary character
"wolf, raptor","I chose it because many of my personalities represent it, so I show it through this species.",Primary character
"otherdog, deer, other","Playful and loyal like a dog, I admire deer in every way, and I'm a Capricorn ",Primary character
"domesticcat, otherfeline, skunk",I like it.,Primary character
"redfox, otherfox","Before I knew of the fandom, foxes held a certain appeal, unfortunately not for reasons easy to describe.",Primary character
snowleopard,Felt right,Primary character
raccoon,"Raccoons really ft my personality. Plus, I grew up playng Sly Cooper, so that made a big impression.",Primary character
lizard,"Represents another part of me. The personality is similar to mine but the species was chosen because I thought it looked very cool, it's not as representative as my main sona.",Secondary Character
othercanine,It just feels right. I am a diverse person so I could not see myself as any single species but I also do not see myself as some outlandish hybrid. I ended up with a canine character that has more humanish features to resemble me closely.,Primary character
other,Spiders just fit me really well for some reason :P,Primary character
,Their personality I like and I relate to them.,Primary character
otherfox,Reasons I would not like to say.,Primary character
redfox,"Again, reasons I would not like to say.",Secondary Character
other,I liked the design and the whole backstory,Primary character
wolf,"It's alone, like a lone wolf.",Primary character
bat,I love bats and thought they'd be perfect for my goth sona.,Secondary Character
othercanine,I chose a mained wolf because they are one of my favorite animals.,Secondary Character
otherfeline,I chose a Clouded Leopard because I wanted a wild cat that was smaller because I couldn't decide on a house cat species.,Secondary Character
hyaena,"Hyenas are cool. I chose one for this specific sona because of their laugh, and she's supposed to be a silly character.",Secondary Character
skunk,"I have always thought skunks were cute and I love Flower from Bambi, so that's why she is my hippie sona.",Secondary Character
other,I chose a Siberian flying squirrel because I wanted a little white fluffy sona with big eyes.,Secondary Character
raven,I love ravens and crows because they're associated with death.,Secondary Character
redfox,I have always loved foxes and have identified myself as being very close to them. I believe they make the prettiest anthros.,Secondary Character
redpanda,Red pandas have been my favorite animal since second or third grade.,Secondary Character
other,"I wanted my main sona to be a mythical creature. I took some quizzes and most said I'd be a unicorn, but I didn't want that, so I chose something similar.",Primary character
"othermusteloid, rat",I chose a naked rat/ ferret because I wanted a mixed rodent species for my punk sona.,Secondary Character
"cougar, deer, other",I came up with this character for LARP. There's a lot of reasons why I chose the species that I did.,Secondary Character
"germanshepherd, otherdog","I'm a dog person, and I love g-sheps+corgis",Primary character
other,Just curious,Primary character
"panther, dragon",I think that they are both visually and in other ways attractive. ,Primary character
"wolf, coyote, otherdog",Because I enjoy the species and feel spiritually attached to them ,Primary character
"coyote, dragon, kangaroo",It's how I was born,Primary character
lion,lions are cool,Primary character
"rabbit, other",It is the one I have the closest virtual spiritual relationship with.,Primary character
otherdog,dogs are cute and good friends,Primary character
lion,"Reflects my personality,  so I identify with them best. ",Primary character
rabbit,Their muscle size and amount of fur are in balance to my taste,Primary character
"wolf, brownbear",My family identified me as a wolf and I feel associated with the bear so I am a hybrid of both.,Primary character
other,It was hard to decide between the two :P,Primary character
"redfox, greyfox",I identify with foxes more strongly than other species,Primary character
dragon,My Chinese horoscope is a Metal Dragon (being born in 2000) and I feel it fits me well. it is a solid concrete decision that I refuse to change because otherwise my fursona would be constantly changing,Primary character
seaotter,It fits me. I connect with it and it represents me best,Primary character
"dragon, otherreptile, raccoon, skunk, othermarsupial",Because I love the species and feel close to them,Primary character
husky,Huskies are like domesticated wolves,Secondary Character
wolf,It best represents my personality also I like the look of wolves,Primary character
"leopard, snowleopard, cheetah",Because that's the way I want to be.,Primary character
redfox,Very Feminine,Secondary Character
other,Lactation,Primary character
bat,"While designing a monster, it started to look like a bat. It eventually became a bat.",Primary character
"hyaena, other",I thought it would be fun to mix things up and make a new character which turned out being a favourite of mine.,Secondary Character
"wolf, redfox",I like wolves and have a pet fox so i decided to combine the two and we have Ghorvuil Iceblade,Primary character
"otherfeline, other","I like big cats, and the sabre cat is a really cool one.",Primary character
other,I fell in love with the personality of this species and wished to be a part of it because it resonated with me and how I sometimes act around those I admire.,Secondary Character
wolf,"When I was in grade 8 I was really interested in wolves, more of the winged kind. So I guess that interest carried through, also I wouldn't mind flying that would be sick.",Primary character
skunk,Touch fluffy tail,Primary character
other,and a real hero,Primary character
jackal,"Im a clever tricky son of a bitch.
",Primary character
deer,kinda like me,Primary character
rabbit,Fits me as an IRL person.,Primary character
rabbit,It's the closest to my IRL self.,Primary character
domesticcat,cats be great,Primary character
deer,"I like deer. I used to identify as a goat, but chose a deer to protect identity from old site I used to use",Primary character
otherfox,i felt my character needed a new design so I drew him more fox like but I grew fond of the old design so the new one became my second fursona ,Secondary Character
othercanine,I have always loved canines but when it was time to choose my fursona I wasn't able to decide what type of canine to choose,Primary character
lizard,"Less mary-sue than dragons, actually exist and are hella cool.",Primary character
raccoon,I connect with it most in terms of personality. ,Primary character
wolf,"I admired werewolves for years, and therefore wolves too, before finding out about the furry fandom; when I created my fursona I decided to choose a wolf as I identified more closely with it ",Primary character
"wolf, redfox, domesticcat",I couldn't decide between my favourite 3 animals and I feel that each animal represents different aspects of my personality and person,Primary character
other,I have always loved werewolves ,Primary character
bat,"Is one of favourite animals and the one I'd say i most like myself

Also wings",Primary character
other,I feel as this species represents me as a person.,Primary character
"wolf, husky",i like a whusky and i have a dog husky that acts like a wolf,Deprecated character
"husky, other",i like the design and i have many fantasies,Primary character
"dragon, other","I really like the species lore and design, and I feel like they represent me more than my past fursonas.",Primary character
"domesticcat, raptor, griffin, other",I saw a non-furry's picture of an owl-griffin and fell in love with it. I identified as one for about a month before finding Dutch Angel Dragons.,Deprecated character
"otherbird, other","I wanted to be original, but after realizing how bad its design was, I moved on to a different fursona.",Deprecated character
rabbit,I liked rabbits a lot at this time.,Deprecated character
wolf,.,Primary character
snowleopard,because cuddles,Primary character
,"pink, cute :3",Secondary Character
"otherfeline, dragon","She is very much like me and I am able to be more of myself when I'm role-playing with her and I love cats and dragons, so that's why she is both",Primary character
otherdog,I identify with this animal,Primary character
"redfox, riverotter",I feel like I get them,Primary character
otherdog,I like dogs.,Primary character
otherfeline,I like all felines and mashed the attributes that I admired most into my fursona.,Primary character
horse,"Fabulous mane, somewhat unique species.  Not overly cuddly or fluffy (which doesn't fit my personality)",Primary character
griffin,Gryphons are cool,Primary character
"wolf, domesticcat",She is a lot like me in her attributes.,Primary character
wolf,I thought she was cool back then ,Deprecated character
bat,Bats rule,Primary character
"dragon, lizard",Like reptiles from a young age,Secondary Character
germanshepherd,Because I have always had sheps and have grown to love them as a breed,Primary character
domesticcat,I have a cat and based my fursona off it.,Primary character
deer,The species I see myself most in,Primary character
otherfeline,Is it the one I most relate to/the one I feel like I would be the most.,Primary character
husky,Favorite Animal,Primary character
domesticcat,Cats are my favorite animal and I feel the species is a good representation of myself.,Primary character
other,I just really like the species,Primary character
raccoon,"Appearance (both in regards to myself and general aesthetics)
Associated Personality (or I guess how the species is viewed and actively portrayed by furries)",Primary character
griffin,Largely in part because I found it the most fitting to me personally at the time of it's creation.,Deprecated character
otherbear,"I relate to a black bear because I am husky and have black hair, also bears seem like a masculine creature but also cuddly at the same time. ",Primary character
"wolf, husky",When comfortable I am naturally rather dog like. I love being petted and wearing a collar.,Primary character
"redfox, dragon, other",I liked the design,Primary character
kangaroo,Because in the furry fandom kangaroos can have pouches that things can go in!,Primary character
dragon,I love dragons as much as corgis,Secondary Character
otherdog,I love corgis,Primary character
husky,I always been attracted to huskys for some odd reason I think it's because I am one inside but I got stuck in a human body,Primary character
"otherfox, otherbird",Because I like foxes and feathers. ,Primary character
otherfox,My favorite animal,Primary character
otherdog,they are cute,Primary character
"arcticfox, snowleopard","favorites, and I share personality traits",Primary character
,This represents my pain. I feel that this is a fursona that would exist if I had given form to a past depression. ,Secondary Character
hyaena,"Hyena is my race, because it's African and I'm African. It represents me in that kind of way.",Primary character
dragon,Because I've always liked dragons and fantasy,Primary character
lizard,Because of Pokemon,Secondary Character
otherbird,Because birds are cute,Primary character
"wolf, tiger, cougar",Its my Achaea Character's DNA,Primary character
"redfox, kitsune",original character that was first created in a D&D campaign before I considered myself a furry. used some for interactions outside of the campaign with others that knew of the campaign.,Deprecated character
otherfox,The fox is my favorite animal. they're cute and mischievous too ^_^,Primary character
"tiger, snowleopard","My favorite animal is the Snow Leopard. It reminds me of beauty, intelligence, and being unique.
I combined a Snow Leopard with a Tiger because I wanted to embody my Fursona with the desire to protect and help those around him/me.
I present to you the ""Snepger"".",Primary character
wolf,I always looked up to wolves as my role model. Living in harmony in a group.,Secondary Character
deer,"I think deers are beautiful and delicate, not that I am but I indentify with their fear of everything. Also they're fun to draw.",Primary character
redfox,"i dont have a great reason, i just think foxes are adorable",Primary character
brownbear,"My fursona is Soviet Bear, a brown bear that is from Russia.",Primary character
redfox,"Visually appealing, connects with me the most",Primary character
mouse,Spirit animal,Secondary Character
other,I like the look of this animal,Secondary Character
"domesticcat, raptor",They are animals I identify closely with,Primary character
other,Represents me.,Secondary Character
other,My favorite animal.,Primary character
othermustelid,"I love to climb pine trees, and relate to this species a lot",Primary character
husky,Idk... I just really like huskies i suppose...,Primary character
badger,"Similar physiological traits and personality, and mustelidae are neat.",Primary character
otherfox,I love foxes. I am foxes,Primary character
otherfox,"Again, I love foxes.",Deprecated character
redfox,The Red Fox is superficially beautiful,Deprecated character
redpanda,"The Red Panda accurately portrays my personality (lazy, fun loving, and playful)",Primary character
other,They're unusual.,Primary character
domesticcat,Cute and fluffy ,Primary character
deer,A good friend thought it would fit me. I've found that is does.,Primary character
domesticcat,"I do not identify as a furry, i just like the pictures and excessive pornography, a couple of friends who are furries wanted me to get a pic to represent myself when im with them",Secondary Character
dragon,"I feel like I personally connect/am my dragon character. I'm the classic Therian/otherkin example, phantom limbs and all.",Primary character
other,"Its my favorite species, too bad they are not real.",Primary character
redfox,It represents me,Primary character
redpanda,"I chose this species because it has always been a species that I like and combining it with my favourite colours make it even better, plus it is easy to make kemono art for it too",Primary character
kitsune,i connect with this 100% since i was little. ,Primary character
domesticcat,"Personal proclivity for physical intimacy, ambiversion, and I'm a bit of an asshole",Primary character
griffin,it was cool,Primary character
dragon,Because dragons.,Secondary Character
redfox,Why not.,Primary character
tiger,"Favorite animal, similar personality traits, stripes semi-representing self harm",Primary character
lion,I've adored the Lion king ever since I was little and well. Yep. I've had a lioness fursona ever since.,Primary character
other,"Wolf: Social, loyal, i have my little pack (my friends) and i stay with them.
Fox: i can be smart and kind of like a fox, (artic fox)
Cat: Lazy, sleepy, nobody own me, i own them.
deer: shy as fluff, scared, cute.
Corp: some pepole think that im kinda creepy and remind me of corp

I have a conektion to all of them thats kind of hard to explain.",Primary character
"wolf, otherfox, otherfeline",I love cats and when I started to make my first fursuit I made a fox music instead and liked it started drawing my fursona with cat and fox features. ,Primary character
"wolf, otherfox, otherfeline",She was my first fursuit I made and she had the looks of all 3 animals. ,Secondary Character
"dragon, other","Becuase dragons r sooper hot
",Primary character
redfox,Foxes are another one of my favorite animals and I was having difficulty designing the first one.,Primary character
wolf,Wolves are one of my favorite animals,Deprecated character
wolf,Because I've always been fond of wolves from a young age.,Primary character
otherdog,I have a friend with an Akita Inu that I adore.,Secondary Character
otherfeline,It Just feels right.,Primary character
othercanine,"In honesty, I chose the African Wild Dog as my character's species solely for the reason that it looked cool. Looking back on my decision, I feel as though it may have been fitting for reasons such as the species' strong dedication to a pack mentality, but I had no such higher thought process initially.",Primary character
otherfox,dogs are cool yo,Deprecated character
other,"I wanted to create a character that had all of the features I liked, and in the end it wasn't anything like a  real animal. He looks like a tall mimiga.",Primary character
wolf,Not sure again...,Secondary Character
wolf,Not sure.,Primary character
"wolf, redfox, other",I love it!,Primary character
kitsune,again just a cool design,Secondary Character
kitsune,Just a design I created ,Primary character
otherfeline,another cool design I came up with,Secondary Character
"othercanine, dragon, other",i feel like it identify with them on a personal level,Primary character
"brownbear, grizzlybear, otherbear",Ever since the bear came to me it helped my depression and anxieties. ,Primary character
otherfox,"(a) fox behavior (real and fictional) resembles mine
ex. playful, submissive, being indifferent
(b) like fox look",Primary character
raccoon,Appearance and personality often associated with the species,Primary character
"lizard, otherreptile","I like to be different, I pesonally hate the typical canine or feline furry. not that I am one... yeah :)",Primary character
"otherungulate, otherbear, other","I'm interested in mythology surrounding monsters, forest spirits, and reanimated corpses. My character is a reanimated bear skull that I created first as part of a short story. I chose this character as a primary fursona because he exemplifies all of my interests.",Primary character
raccoon,"Raccoons are relatable to me, they're very creative and smart, but are very individualized. ",Primary character
raccoon,I love raccoons. ,Primary character
lion,"It is my horoscope sign, and I also like lions. ",Secondary Character
tiger,"I've always liked felines, and the tiger is the most cool feline.",Primary character
"othercanine, other","The wolf part of my fursona is my wild, primal, and crazy side. My deer side represents my gentle, shy, and fearful side.",Primary character
redfox,"Cute
",Secondary Character
"otherungulate, other","My favourite animal
",Primary character
otherfox,For Furcons meets. Made VERY colorful ,Primary character
otherfox,Felt it was appropriate for my personality.,Primary character
"otherbear, rabbit",These animals are similar to my personality,Primary character
wolf,my favorite animal is the wolf and i admire it's way of life,Primary character
othercanine,"My second Fursona is a three headed hellhound (cerburus)
This is what I am like when I get aggresive, but I dont want to hurt anyone",Secondary Character
wolf,"My main fursona is a rainbow and white wolf that is extremly playful, fun and social
This is who I wish I can be as a human",Primary character
other,"My Angel Dragon sona expresses my cute, curious and social side",Secondary Character
hyaena,"Asshole who likes running around and getting into trouble, being a domineering character and laughing at others' misfortunes.",Secondary Character
"otherreptile, other",I'm a lazy asshole who takes forever to eat and forgets to show signs of anger before snapping and biting peoples' heads off.,Primary character
fennec,This species describes my personality and I fit in better there,Primary character
riverotter,"I have always felt most at home in the water, so it suits me well.",Primary character
wolf,I have always felt drawn towards wolves,Deprecated character
horse,I find a connection with the free spirit of the horse.,Deprecated character
otherfox,I feel that the stereotypes and character associated with said species fits my identity and personality well.,Primary character
fennec,Interested in animal + my favorite animal.,Primary character
"arcticfox, kitsune",I've always loved foxes.,Primary character
other,I served in the navy and felt it was appropriate and fitting to my attraction and love of the seas.,Primary character
riverotter,"Was made for me by a friend, I liked the boundless energy and cheerfulness that they express both in and out of character, and so they made him for me for us to have fun together.",Secondary Character
badger,It was my RL nickname for years... and a badger just seemed to fit my mentality and body tpye!,Primary character
redpanda,Was originally a gift from a friend.,Secondary Character
jackal,"Fit my personality, taking into consideration my positive and negative features.",Primary character
dragon,"While I want to be various things day-by-day, dragon feels like the default.",Primary character
wolf,"fits my personality more than standard wolf, always liked wolves. Smaller height but more bulk matches my physical self.",Primary character
"deer, other",I'm Sugarwings.,Primary character
"brownbear, grizzlybear","Always loved bears. Of a ""gay"" bearish build. ",Primary character
domesticcat,Came to furry via catgirl,Primary character
"othercanine, domesticcat, otherungulate, kangaroo",My favorite species,Primary character
germanshepherd,"My favorite type of dog, and I love their personalities",Primary character
lion,Wife likes lions,Primary character
otherdog,"It suits my vision of my ideal self, and how I'd like to be a more positive, fun-loving person. ",Primary character
horse,For the sake of ponies.,Primary character
kitsune,It's the species that she shows herself to me in.,Primary character
wolf,Has personal spiritual//religious significance ,Primary character
domesticcat,There are some attributes I strongly identify with.,Primary character
dragon,Had the attributes I wanted in a character,Primary character
redpanda,I just really like red pandas. ,Secondary Character
"arcticfox, raptor, griffin","My ""face"" in the fandom. I couldn't decide between a bird and a fox so I combined the two.",Primary character
otherbird,Symbolism,Secondary Character
dragon,lifelong affinity for dragons,Secondary Character
"dragon, dinosaur, other",spiritual identification,Primary character
dragon,It's my fursona as well as my otherkin identity.,Primary character
snowleopard,Personality match ,Primary character
"raptor, otherbird, other",Personal connections with animals.,Primary character
redfox,I have always liked foxes. That's all. Screw your community's idiotic stereotypes that were thought up to cater to the fetishes of desperate old gay men.,Primary character
collie,I think I just like border collies. ,Primary character
griffin,"did not choose, came after much meditate and investigate myself",Primary character
other,"I've always loved the folklore about jackalopes, and rabbits with antlers are always cute",Secondary Character
griffin,"An affinity for both birds and cats, and an overall affinity for the mythological creature",Primary character
"jackal, otherfeline, bat, other","Made the species myself, long story.",Primary character
redfox,Red foxes are my favorite animals and they are very intelligent in my eyes. ,Primary character
wolf,Because I feel identified with him,Primary character
riverotter,My nickname was Otter since I was 10,Primary character
germanshepherd,Fits my personality,Primary character
domesticcat,"Cats are adorable, easily spooked, curious little shits, just like me",Primary character
lion,It chose me =3,Primary character
polarbear,It seemed to fit me on a gut-feeling level,Primary character
riverotter,"Again, to try and fit in. ",Primary character
,To fit in and please my friends. I just want to feel accepted.,Deprecated character
deer,Good personal fit,Primary character
"wolf, lion, otherfeline, dragon","Couldn't decide on any one thing, mashed them together.",Primary character
horse,Admiration of the animal,Primary character
brownbear,I feel like it's characteristics matches my personality well.,Primary character
griffin,I like birds and paws,Primary character
otherdog,My own dog is a welsh springer spaniel,Primary character
otherungulate,Had the features I related to the most.  Also my Chinese zodiac is year of the Ox,Primary character
wolf,"Partly due to a feeling an attachment and sense of association to wolves in an abstract sense, more so when I originally chose them, and partly because of the aesthetic side. I find wolves to be beautiful animals.",Primary character
"coyote, dragon","Unsure, it felt like the right persona to represent as a role model.",Primary character
snowleopard,I like snow,Primary character
"wolf, brownbear",Felt it represented me the best. going along with social and mental traits I have.,Primary character
dragon,It represents both my desire to protect as well as my importance towards certain material possessions. ,Primary character
"rat, other",Identity associated by friends,Deprecated character
germanshepherd,An animal I admired growing up and associate similar qualities to my own personality,Primary character
otherungulate,Goats are independent and the opposite of sheep. ,Primary character
deer,This is my true personal character but gets less visibility because my business centers around the goat,Secondary Character
other,I don't identify with a specific species. I tend to mutate a lot.,Primary character
otherfox,i love foxes,Primary character
lemur,i like lemurs,Secondary Character
otherfeline,i like cats,Secondary Character
horse,I identify with this species. This character formed very quickly and has remained static since.,Primary character
tiger,Powerful and Majestic,Primary character
other,I like them!,Primary character
other,I like them,Primary character
otherdog,"A chihuahua had been my primary fursona for most of my time in the fandom, as I am also small and feel I have a similar personality to an archetypical chihuahua.",Secondary Character
othermarsupial,"I have recently adopted an opossum as my fursona. I think they are cute and funny animals, and like that they are sort of weird. I also chose to make an opossum fursuit for my first fursuit, because I thought it would one of the easier species to construct.",Primary character
redfox,I stronly relate to their attributes.,Primary character
othercanine,Feels most like me,Primary character
rabbit,Perception of shared physical and emotional attributes.,Primary character
dragon,"I needed a change, and it seemed to be best fit. ",Primary character
skunk,Skunks are cute. ,Secondary Character
deer,"Aesthetics, percieved personality similarities (deer in the headlights, reclusive etc)",Primary character
dragon,I have always been fond of dragons and was very fond of the idea that my character(me) could be one.,Primary character
redfox,I like foxes :),Primary character
rat,What I do IRL,Secondary Character
horse,because they are free spirited and fun.,Secondary Character
riverotter,they are fun and cute,Primary character
riverotter,This is my personal favorite animal.,Primary character
arcticfox,because they're fluffy and cute owo plus their personality seems to suit me,Primary character
wolf,I felt a special connection to wolves at the time I learned about Furries.,Primary character
"arcticfox, kangaroo",blending primary character with other species,Secondary Character
arcticfox,"identified with it the most, fluffy tail man",Primary character
"arcticfox, squirrel, kangaroo",having fun with hybrids,Secondary Character
wolf,"At first I started to draw furry art of this character before becoming a furry, but realized I was one, and felt a sort of connection towards him",Primary character
tiger,Behavior is reasonably representative of my personality.,Primary character
redfox,Personal Preference - Trait comparison,Primary character
"othercanine, other",It was my fursuit and it fit  better than my choice of a dragon when I was young,Primary character
"otherdog, brownbear, grizzlybear","I am a dogbear! I am a dog because I've always felt like a dog, personality wise, and I have some bear in me because I want to be a big big dog and that brings some size into it.",Primary character
germanshepherd,Like the actual animal,Primary character
other,"I love cats, and my chinese horoscope is Fire Tiger. My Zodiac is a water type; I love amphibians. I have researched Axolotls and admire/relate to them.",Primary character
otherbird,Pigeons; I grew up feeding them in the city. I've researched them and admire/relate to them.,Primary character
wolf,Wolf social hierarchy ,Primary character
"wolf, riverotter","Otters are adorable! However, I wanted lupine genitalia for role-playing purposes.",Primary character
wolf,I like wolves in general.,Deprecated character
redfox,Identifying as a fox was my initial reaction to discovering the furry fandom.,Deprecated character
otherdog,"Strong love for dogs as a child, happy memories, fun",Primary character
deer,beautiful animal,Secondary Character
horse,It's the character of all the species I've been I identify with the most and have stuck with.,Primary character
"wolf, redfox, otherdog",I like the idea of it,Primary character
wolf,Feeling of affinity,Primary character
husky,I have this kind of dog,Secondary Character
otherdog,"Poodles are athletic, energetic, intelligent and look attractive (without the poofy haircut); none of the Poodle's features are ones I wished I had. It simply reflects a part of my character. ",Secondary Character
othercanine,"Coloration on maned wolf is attractive; being tall is desirable, hence choosing a tall-limbed animal; Chose Hyena for the fact that females are leaders, nothing to do with sex; liked some types of markings on hyena coats",Primary character
dragon,My favorite species out of everything. I find dragons awesome. ,Primary character
otherbird,"I'm loud, I'm forgetful, and I'm a big fan of the color blue.",Primary character
otherfox,Don't remember. Feels right today.,Primary character
"redfox, other","Foxslug, was originally based on a plushie. Then used as an RPG character. I liked it enough to get art of him and even some badges. But it is more of a pet or familiar, not a character I identify as. http://imgur.com/a/vQcfV",Deprecated character
wolf,I was almost a Fox... But thought a would would be more unique. This was in 1994. I can owe my name to a nickname given to Killer Instinct's SaberWulf,Primary character
"coyote, raccoon",They match my personality,Primary character
deer,"??? No real reason tbh, just like them ",Primary character
"wolf, husky",I identify with wild dogs highly,Primary character
rabbit,"Cute, feisty yet somewhat shy.",Primary character
otherungulate,The zebra fursona was meant to be aspirational. I see in the zebra qualities I lack: a certain decisiveness and strength of character I find hard to achieve consistently.,Secondary Character
otherdog,"I got into furry by way of pup play. Settled on dingo as my specific species because they are generally a wild dog, but can be tamed, which was my consistent with my self-image as a generally unsettled person who was willing to settle down under the right circumstances.",Primary character
griffin,Personal connection to this species/otherkin,Primary character
dragon,Personal connection/otherkin,Deprecated character
riverotter,"Fun-loving, silly, and loves rivers (as I do).",Deprecated character
otherfeline,"I love felines, cold weather and where I work (the mountains).",Primary character
raptor,"Cute, and ubiquitous in my home state.",Deprecated character
polarbear,Mediated and discovered my soul's form,Primary character
"jackal, dragon, dinosaur, hyaena",Engineered to be cute and fluffy and somewhat alien. But also a fluffy raptor.,Primary character
"otherfeline, hyaena",Dream,Secondary Character
other,Dream,Secondary Character
"wolf, otherfeline, hyaena",Dream,Secondary Character
hyaena,Dream,Secondary Character
"jackal, dragon, dinosaur, hyaena",Wanted a form based on primary,Secondary Character
redfox,It's me.,Primary character
panther,Fits my personality and looks.,Primary character
othercanine,Wanted a canine character for a second fursona,Primary character
wolf,"Outdated sona, wolf has always been the closest animal to me",Deprecated character
